Sampling point	Site	Site_point	Richness	Shannon	x	y	Maturity Index [MEAN]	Plant Parasitic Index [MEAN]	Enrichment Index [MEAN]	Structure Index [MEAN]	Total number, ind [MEAN]	Herbivores, % of total	Fungivores, % of total	Fungivores, % of free-living	Bacterivores, % of total	Bacterivores, % of free-living	Predators, % of total	Predators, % of free-living	Omnivores, % of total	Omnivores, % of free-living	Sedentary parasites, % of herbivores	Migratory endoparasites, % of herbivores	Semi-endoparasites, % of herbivores	Ectoparasites, % of herbivores	Epidermal/root hair feeders, % of herbivores	Algal/lichen/moss feeders, % of herbivores	CP 1, % of free-living	CP 2, % of free-living	CP 3, % of free-living	CP 4, % of free-living	CP 5, % of free-living	PP 2, % of herbivores	PP 3, % of herbivores	PP 4, % of herbivores	PP 5, % of herbivores	Rich_bact	Rich_fung	Rich_herb	Rich_omn	Rich_pred	Div_bact	Div_fung	Div_herb	Div_omn	Div_pred
COM50-60	COM	COM5060	26	2.768361412	73.095	36.298	2.92	3.35	39.66	81.87	11.26	17	37	44.6	30	36.1	5	6	11	13.3	0	35.3	0	64.7	0	0	0	42.2	26.5	28.9	2.4	0	82.4	0	17.6	9	4	5	5	3	2.060569161	1.076077137	1.452044073	1.294545166	0.95027054
JIM0-0	JIM	JIM00	23	2.320753266	91.469	86.667	2.69	2.53	44.58	71.78	8.96	19	42	51.9	21	25.9	5	6.2	13	16	0	0	0	100	0	0	0	56.8	21	18.5	3.7	47.4	52.6	0	0	10	2	3	4	4	1.922284146	1.30132554	0.862857801	1.20479331	1.33217904
JIM0-10	JIM	JIM010	25	2.734156938	86.839	78.752	2.58	2.88	34.78	67.27	4.8	26	22	29.7	40	54.1	7	9.5	5	6.8	7.7	0	0	88.5	3.8	0	1.4	60.8	20.3	13.5	4.1	11.5	88.5	0	0	10	4	5	3	3	1.89105311	0.13430644	1.251354704	0.950270537	1.078992207
JIM0-20	JIM	JIM020	23	2.521283422	82.228	69.629	2.87	2.71	46.87	78.55	19.92	31	34	49.3	24	34.8	3	4.3	8	11.6	0	25.8	0	71	3.2	0	0	49.3	20.3	24.6	5.8	29	71	0	0	8	4	5	3	3	1.827719729	1.218024035	1.28510313	0.974314753	1.098612289
JIM0-30	JIM	JIM030	20	2.332561475	78.152	60.226	2.67	2.62	46.48	74.24	11.2	24	35	46.1	28	36.8	7	9.2	6	7.9	0	45.8	0	54.2	0	0	1.3	50	28.9	19.7	0	37.5	62.5	0	0	9	2	3	2	4	1.857694228	0.674147764	1.02401022	0.693147181	1.351783995
JIM0-40	JIM	JIM040	26	2.417037711	75.045	52.744	2.84	2.7	47.22	75.4	7.61	33	35	52.2	13	19.4	7	10.4	12	17.9	3	0	3	69.7	24.2	0	0	56.7	14.9	16.4	11.9	36.4	60.6	0	3	9	3	7	3	4	2.098147388	0.120931483	1.594987973	0.823959216	1.351783994
JIM0-50	JIM	JIM050	25	2.531969259	71.227	42.001	2.88	2.83	48.39	81.97	22.79	23	25	32.5	36	46.8	6	7.8	10	13	4.3	0	0	95.7	0	0	2.6	41.6	24.7	27.3	3.9	17.4	82.6	0	0	12	3	3	3	4	2.191093877	0.302508988	0.632369473	1.088899975	1.329661349
JIM10-0	JIM	JIM100	19	1.881789338	82.282	91.135	2.69	2.71	49.52	69.32	16.09	14	62	72.1	8	9.3	2	2.3	14	16.3	0	0	0	57.1	42.9	0	0	61.6	8.1	30.2	0	42.9	50	0	7.1	5	4	5	3	2	1.559581156	2.301225086	1.390437795	0.655975732	0.693147181
JIM10--10	JIM	JIM1010	23	2.625949821	79.311	83.557	3.11	2.77	52.27	88.68	13.58	30	21	30	36	51.4	5	7.1	8	11.4	0	0	3.3	96.7	0	0	2.9	30	22.9	41.4	2.9	23.3	76.7	0	0	11	2	4	3	3	2.114077523	0.284391788	1.185660656	0.900256051	1.054920168
JIM10--20	JIM	JIM1020	24	2.688507535	74.92	72.492	2.92	2.42	41.38	81.11	21.42	24	28	36.8	31	40.8	6	7.9	11	14.5	0	0	0	41.7	50	8.3	0	44.7	25	23.7	6.6	58.3	41.7	0	0	11	3	3	5	2	2.183725282	0.874226836	0.918427785	1.389681193	0.450561209
